i,w,j1,j2,factor_e,exact_e_0,factor_c,calc_e_0,rad
47,47,0.7313537016191705,0.6819983600624985,0.3708997244547503,-19.27246882609673,0.6789569160997732,-18.191721045369057,0.2611111111111111
48,48,0.7431448254773942,0.6691306063588582,0.390756548715636,-19.107341647473454,0.7878911564625851,-18.08165375933183,0.2666666666666666
49,49,0.754709580222772,0.6560590289905073,0.4169352141078678,-18.945262535307563,1.000408163265306,-17.6204457948799,0.2722222222222222
50,50,0.766044443118978,0.6427876096865394,0.4518616341832867,-18.78822468895751,1.0149206349206348,-17.388834872834533,0.2777777777777778
51,51,0.7771459614569709,0.6293203910498375,0.4988757794617831,-18.6388661697206,0.9527437641723356,-17.912039730133532,0.2833333333333333
52,52,0.788010753606722,0.6156614753256583,0.5623463781861161,-18.50066664589956,1.101179138321995,-17.640804966774944,0.2888888888888888
53,53,0.7986355100472928,0.6018150231520484,0.6473756367700966,-18.378117408370763,1.294512471655329,-17.245194109094214,0.2944444444444444
54,54,0.8090169943749475,0.5877852522924731,0.7585055119291342,-18.276716056345663,1.1880272108843537,-17.645648893632615,0.3
55,55,0.8191520442889918,0.5735764363510462,1.0731160008902996,-18.23532435242563,1.244625850340136,-17.703613967993107,0.3055555555555556
56,56,0.8290375725550417,0.5591929034707468,1.0955543171298212,-18.241237826518024,1.3832199546485262,-17.73310280352467,0.3111111111111111
57,57,0.838670567945424,0.5446390350150271,1.1286853118984832,-18.255512967958293,1.5341043083900223,-17.799975061926865,0.3166666666666666
58,58,0.848048096156426,0.5299192642332049,1.179243139820513,-18.280199930718524,1.6111111111111114,-17.932243804956325,0.3222222222222222
59,59,0.8571673007021123,0.5150380749100542,1.2572930991805218,-18.31841908942339,1.849659863945578,-17.998234890635793,0.3277777777777778
60,60,0.8660254037844386,0.5000000000000001,1.3764103183435543,-18.374663708562107,1.924308390022676,-18.160285945109237,0.3333333333333333
